Year,ETI,Score,Regime
1950,9.2,9,1
1951,8.9,8,1
1952,8.9,8,1
1953,8.9,8,1
1954,8.7,8,1
1955,8.7,8,1
1956,8.7,8,1
1957,8.7,8,1
1958,8.7,8,1
1959,8.7,8,1
1960,8.7,8,1
1961,8.6,8,1
1962,8.6,8,1
1963,8.2,7,1
1964,7.6,7,1
1965,7.6,7,2
1966,7.3,6,2
1967,7.2,6,2
1968,7.1,6,2
1969,6.3,5,2
1970,6.2,5,2
1971,6,5,2
1972,5.9,5,3
1973,5.8,5,3
1974,5.8,5,3
1975,5.8,5,3
1976,5.8,5,3
1977,5.8,5,3
1978,5.8,5,3
1979,5.7,5,3
1980,5.7,5,3
1981,5.7,5,3
1982,5.6,5,3
1983,5.6,5,4
1984,5.5,4,4
1985,5.5,4,4
1986,5.6,5,4
1987,5.6,5,4
1988,5.4,4,4
1989,5.4,4,4
1990,5.4,4,4
1991,5.4,4,4
1992,5.3,4,4
1993,5.2,4,4
1994,5.2,4,4
1995,5.2,4,4
1996,5.2,4,5
1997,5.2,4,5
1998,5.3,4,5
1999,5.3,4,5
2000,5.2,4,5
2001,5.1,4,5
2002,4.9,4,5
2003,4.8,4,5
2004,4.7,4,5
2005,4.5,3,5
2006,4.4,3,5
2007,4.3,3,5
2008,4.1,3,5
2009,3.8,3,5
2010,3.5,2,5
2011,3.2,2,5
2012,2.8,2,5
2013,2.5,2,5
2014,2.4,1,5
2015,2.6,2,6
2016,2.9,2,6
2017,3.2,2,6
2018,3.4,2,6
2019,3.6,2,6