Year,ETI,Score,Place,Scenario
2020,5.7,5,SE_Aust,climate_change
2021,5.2,4,SE_Aust,climate_change
2022,4.9,4,SE_Aust,climate_change
2023,5.7,5,SE_Aust,climate_change
2024,5.7,5,SE_Aust,climate_change
2025,4.8,4,SE_Aust,climate_change
2026,4.8,4,SE_Aust,climate_change
2027,5,4,SE_Aust,climate_change
2028,5.6,5,SE_Aust,climate_change
2029,4.8,4,SE_Aust,climate_change
2030,4.8,4,SE_Aust,climate_change
2031,4.8,4,SE_Aust,climate_change
2032,5.6,5,SE_Aust,climate_change
2033,5,4,SE_Aust,climate_change
2034,4.9,4,SE_Aust,climate_change
2035,6,5,SE_Aust,climate_change
2036,5.8,5,SE_Aust,climate_change
2037,4.9,4,SE_Aust,climate_change
2038,5,4,SE_Aust,climate_change
2039,4.8,4,SE_Aust,climate_change
2040,4.5,3,SE_Aust,climate_change
2020,5.7,5,SE_Aust,marine_heat_wave
2021,5.2,4,SE_Aust,marine_heat_wave
2022,5.6,5,SE_Aust,marine_heat_wave
2023,5,4,SE_Aust,marine_heat_wave
2024,4.9,4,SE_Aust,marine_heat_wave
2025,4.5,3,SE_Aust,marine_heat_wave
2026,5.8,5,SE_Aust,marine_heat_wave
2027,4.9,4,SE_Aust,marine_heat_wave
2028,4.5,3,SE_Aust,marine_heat_wave
2029,4.8,4,SE_Aust,marine_heat_wave
2030,4.5,3,SE_Aust,marine_heat_wave
2031,5.4,4,SE_Aust,marine_heat_wave
2032,4.8,4,SE_Aust,marine_heat_wave
2033,4.9,4,SE_Aust,marine_heat_wave
2034,4.8,4,SE_Aust,marine_heat_wave
2035,5.7,5,SE_Aust,marine_heat_wave
2036,4.5,3,SE_Aust,marine_heat_wave
2037,4.5,3,SE_Aust,marine_heat_wave
2038,4.8,4,SE_Aust,marine_heat_wave
2039,3.9,3,SE_Aust,marine_heat_wave
2040,4.1,3,SE_Aust,marine_heat_wave
2020,5.7,5,SE_Aust,reduce_F
2021,5.8,5,SE_Aust,reduce_F
2022,6.1,5,SE_Aust,reduce_F
2023,6.4,6,SE_Aust,reduce_F
2024,6.6,6,SE_Aust,reduce_F
2025,6.8,6,SE_Aust,reduce_F
2026,7.1,6,SE_Aust,reduce_F
2027,7.3,6,SE_Aust,reduce_F
2028,7.7,7,SE_Aust,reduce_F
2029,7.8,7,SE_Aust,reduce_F
2030,8,7,SE_Aust,reduce_F
2031,8.1,7,SE_Aust,reduce_F
2032,8.2,7,SE_Aust,reduce_F
2033,8.2,7,SE_Aust,reduce_F
2034,8.2,7,SE_Aust,reduce_F
2035,8.2,7,SE_Aust,reduce_F
2036,8.2,7,SE_Aust,reduce_F
2037,8.2,7,SE_Aust,reduce_F
2038,8.2,7,SE_Aust,reduce_F
2039,8.1,7,SE_Aust,reduce_F
2040,8.1,7,SE_Aust,reduce_F
2020,6.7,6,East_Bering_Sea,climate_change
2021,6.3,5,East_Bering_Sea,climate_change
2022,6.4,5,East_Bering_Sea,climate_change
2023,6.5,6,East_Bering_Sea,climate_change
2024,5.8,5,East_Bering_Sea,climate_change
2025,4.6,3,East_Bering_Sea,climate_change
2026,5.2,4,East_Bering_Sea,climate_change
2027,5.2,4,East_Bering_Sea,climate_change
2028,6,5,East_Bering_Sea,climate_change
2029,5.7,5,East_Bering_Sea,climate_change
2030,5.9,5,East_Bering_Sea,climate_change
2031,6.2,5,East_Bering_Sea,climate_change
2032,5.9,5,East_Bering_Sea,climate_change
2033,5.9,5,East_Bering_Sea,climate_change
2034,6.6,6,East_Bering_Sea,climate_change
2035,6.4,5,East_Bering_Sea,climate_change
2036,5.5,4,East_Bering_Sea,climate_change
2037,4.7,4,East_Bering_Sea,climate_change
2038,5.6,5,East_Bering_Sea,climate_change
2039,6.5,6,East_Bering_Sea,climate_change
2040,6.5,6,East_Bering_Sea,climate_change
2020,6.7,6,East_Bering_Sea,marine_heat_wave
2021,6.3,5,East_Bering_Sea,marine_heat_wave
2022,6.4,5,East_Bering_Sea,marine_heat_wave
2023,6.5,6,East_Bering_Sea,marine_heat_wave
2024,6,5,East_Bering_Sea,marine_heat_wave
2025,4.6,3,East_Bering_Sea,marine_heat_wave
2026,5,4,East_Bering_Sea,marine_heat_wave
2027,5.1,4,East_Bering_Sea,marine_heat_wave
2028,6,5,East_Bering_Sea,marine_heat_wave
2029,5.9,5,East_Bering_Sea,marine_heat_wave
2030,5.8,5,East_Bering_Sea,marine_heat_wave
2031,6,5,East_Bering_Sea,marine_heat_wave
2032,5.6,5,East_Bering_Sea,marine_heat_wave
2033,5.8,5,East_Bering_Sea,marine_heat_wave
2034,6.7,6,East_Bering_Sea,marine_heat_wave
2035,6.4,5,East_Bering_Sea,marine_heat_wave
2036,5.5,4,East_Bering_Sea,marine_heat_wave
2037,4.5,3,East_Bering_Sea,marine_heat_wave
2038,4.6,4,East_Bering_Sea,marine_heat_wave
2039,4.7,4,East_Bering_Sea,marine_heat_wave
2040,5.8,5,East_Bering_Sea,marine_heat_wave
2020,6.7,6,East_Bering_Sea,reduce_F
2021,6.8,6,East_Bering_Sea,reduce_F
2022,6.9,6,East_Bering_Sea,reduce_F
2023,6.9,6,East_Bering_Sea,reduce_F
2024,7,6,East_Bering_Sea,reduce_F
2025,7.1,6,East_Bering_Sea,reduce_F
2026,7.1,6,East_Bering_Sea,reduce_F
2027,7.1,6,East_Bering_Sea,reduce_F
2028,7.3,6,East_Bering_Sea,reduce_F
2029,7.2,6,East_Bering_Sea,reduce_F
2030,7.3,6,East_Bering_Sea,reduce_F
2031,7.4,7,East_Bering_Sea,reduce_F
2032,7.6,7,East_Bering_Sea,reduce_F
2033,7.7,7,East_Bering_Sea,reduce_F
2034,7.8,7,East_Bering_Sea,reduce_F
2035,8,7,East_Bering_Sea,reduce_F
2036,8.1,7,East_Bering_Sea,reduce_F
2037,8.1,7,East_Bering_Sea,reduce_F
2038,8.2,7,East_Bering_Sea,reduce_F
2039,8.2,7,East_Bering_Sea,reduce_F
2040,8.2,7,East_Bering_Sea,reduce_F
2020,4.2,3,Kerala_India,climate_change
2021,4.1,3,Kerala_India,climate_change
2022,4,3,Kerala_India,climate_change
2023,3.7,2,Kerala_India,climate_change
2024,3.8,3,Kerala_India,climate_change
2025,4,3,Kerala_India,climate_change
2026,4.1,3,Kerala_India,climate_change
2027,4,3,Kerala_India,climate_change
2028,4,3,Kerala_India,climate_change
2029,4,3,Kerala_India,climate_change
2030,4,3,Kerala_India,climate_change
2031,3.7,2,Kerala_India,climate_change
2032,3.5,2,Kerala_India,climate_change
2033,3.8,3,Kerala_India,climate_change
2034,3.4,2,Kerala_India,climate_change
2035,3.5,2,Kerala_India,climate_change
2036,3.4,2,Kerala_India,climate_change
2037,4,3,Kerala_India,climate_change
2038,4,3,Kerala_India,climate_change
2039,3.7,2,Kerala_India,climate_change
2040,4.4,3,Kerala_India,climate_change
2020,4.2,3,Kerala_India,marine_heat_wave
2021,4.2,3,Kerala_India,marine_heat_wave
2022,3.8,3,Kerala_India,marine_heat_wave
2023,3.6,2,Kerala_India,marine_heat_wave
2024,3.9,3,Kerala_India,marine_heat_wave
2025,3.8,3,Kerala_India,marine_heat_wave
2026,3.8,3,Kerala_India,marine_heat_wave
2027,3.5,2,Kerala_India,marine_heat_wave
2028,3.9,3,Kerala_India,marine_heat_wave
2029,3.2,2,Kerala_India,marine_heat_wave
2030,3.3,2,Kerala_India,marine_heat_wave
2031,3.2,2,Kerala_India,marine_heat_wave
2032,3.1,2,Kerala_India,marine_heat_wave
2033,3.4,2,Kerala_India,marine_heat_wave
2034,3.3,2,Kerala_India,marine_heat_wave
2035,3.2,2,Kerala_India,marine_heat_wave
2036,3.3,2,Kerala_India,marine_heat_wave
2037,3.5,2,Kerala_India,marine_heat_wave
2038,3.1,2,Kerala_India,marine_heat_wave
2039,2.4,1,Kerala_India,marine_heat_wave
2040,2.8,2,Kerala_India,marine_heat_wave
2020,4.2,3,Kerala_India,reduce_F
2021,4.2,3,Kerala_India,reduce_F
2022,4.2,3,Kerala_India,reduce_F
2023,4.2,3,Kerala_India,reduce_F
2024,4.2,3,Kerala_India,reduce_F
2025,4.2,3,Kerala_India,reduce_F
2026,4.2,3,Kerala_India,reduce_F
2027,4.2,3,Kerala_India,reduce_F
2028,4.2,3,Kerala_India,reduce_F
2029,4.2,3,Kerala_India,reduce_F
2030,4.2,3,Kerala_India,reduce_F
2031,4.2,3,Kerala_India,reduce_F
2032,4.2,3,Kerala_India,reduce_F
2033,4.5,3,Kerala_India,reduce_F
2034,4.5,3,Kerala_India,reduce_F
2035,4.7,4,Kerala_India,reduce_F
2036,4.7,4,Kerala_India,reduce_F
2037,4.7,4,Kerala_India,reduce_F
2038,4.7,4,Kerala_India,reduce_F
2039,4.7,4,Kerala_India,reduce_F
2040,4.7,4,Kerala_India,reduce_F
2020,3.7,2,Nth_Central_Chile,climate_change
2021,3.3,2,Nth_Central_Chile,climate_change
2022,2.9,2,Nth_Central_Chile,climate_change
2023,2.9,2,Nth_Central_Chile,climate_change
2024,2.8,2,Nth_Central_Chile,climate_change
2025,3.1,2,Nth_Central_Chile,climate_change
2026,3.2,2,Nth_Central_Chile,climate_change
2027,3.2,2,Nth_Central_Chile,climate_change
2028,3.1,2,Nth_Central_Chile,climate_change
2029,2.9,2,Nth_Central_Chile,climate_change
2030,2.6,2,Nth_Central_Chile,climate_change
2031,2.6,2,Nth_Central_Chile,climate_change
2032,2.6,2,Nth_Central_Chile,climate_change
2033,2.6,2,Nth_Central_Chile,climate_change
2034,2.3,1,Nth_Central_Chile,climate_change
2035,2.6,2,Nth_Central_Chile,climate_change
2036,2.6,2,Nth_Central_Chile,climate_change
2037,2.6,2,Nth_Central_Chile,climate_change
2038,2.5,1,Nth_Central_Chile,climate_change
2039,2.5,1,Nth_Central_Chile,climate_change
2040,2.5,1,Nth_Central_Chile,climate_change
2020,3.7,2,Nth_Central_Chile,marine_heat_wave
2021,3.3,2,Nth_Central_Chile,marine_heat_wave
2022,2.9,2,Nth_Central_Chile,marine_heat_wave
2023,2.9,2,Nth_Central_Chile,marine_heat_wave
2024,2.2,1,Nth_Central_Chile,marine_heat_wave
2025,3.1,2,Nth_Central_Chile,marine_heat_wave
2026,2.9,2,Nth_Central_Chile,marine_heat_wave
2027,3,2,Nth_Central_Chile,marine_heat_wave
2028,3.1,2,Nth_Central_Chile,marine_heat_wave
2029,2.9,2,Nth_Central_Chile,marine_heat_wave
2030,2.6,2,Nth_Central_Chile,marine_heat_wave
2031,2.1,1,Nth_Central_Chile,marine_heat_wave
2032,2.3,1,Nth_Central_Chile,marine_heat_wave
2033,2.5,2,Nth_Central_Chile,marine_heat_wave
2034,2.3,1,Nth_Central_Chile,marine_heat_wave
2035,2.6,2,Nth_Central_Chile,marine_heat_wave
2036,2.5,2,Nth_Central_Chile,marine_heat_wave
2037,2.4,1,Nth_Central_Chile,marine_heat_wave
2038,2.1,1,Nth_Central_Chile,marine_heat_wave
2039,2.3,1,Nth_Central_Chile,marine_heat_wave
2040,2.2,1,Nth_Central_Chile,marine_heat_wave
2020,3.7,2,Nth_Central_Chile,reduce_F
2021,3.7,2,Nth_Central_Chile,reduce_F
2022,3.7,2,Nth_Central_Chile,reduce_F
2023,3.7,2,Nth_Central_Chile,reduce_F
2024,3.7,2,Nth_Central_Chile,reduce_F
2025,3.7,2,Nth_Central_Chile,reduce_F
2026,3.8,3,Nth_Central_Chile,reduce_F
2027,3.8,3,Nth_Central_Chile,reduce_F
2028,3.8,3,Nth_Central_Chile,reduce_F
2029,3.8,3,Nth_Central_Chile,reduce_F
2030,3.8,3,Nth_Central_Chile,reduce_F
2031,3.8,3,Nth_Central_Chile,reduce_F
2032,3.9,3,Nth_Central_Chile,reduce_F
2033,3.9,3,Nth_Central_Chile,reduce_F
2034,3.9,3,Nth_Central_Chile,reduce_F
2035,4.1,3,Nth_Central_Chile,reduce_F
2036,4.1,3,Nth_Central_Chile,reduce_F
2037,4.1,3,Nth_Central_Chile,reduce_F
2038,4.3,3,Nth_Central_Chile,reduce_F
2039,4.3,3,Nth_Central_Chile,reduce_F
2040,4.3,3,Nth_Central_Chile,reduce_F