Flevel,S,H,Case
0,65.73950152,61.84684098,1
0.02,45.64673445,50.51103635,1
0.05,25.55396739,39.17523172,1
0.1,24.96168175,42.49121629,1
0.2,23.65362136,41.7560163,1
0.5,22.8994867,40.43319566,1
0.65,21.86906675,37.46016402,1
1,19.85620753,36.53040037,1
1.5,9.78333333,36.06716299,1
2,6.358333333,4.542947433,1
5,4.641666667,2.08187514,1
10,3.575,1.81732514,1
20,2.541666667,1.158225258,1
0,68.94758919,59.98525107,2
0.02,46.66693235,33.3991882,2
0.05,24.38627551,6.813125328,2
0.1,21.67322012,38.77157666,2
0.2,20.68970631,34.90322038,2
0.5,19.78333333,28.51252112,2
0.65,17.91666667,16.89833999,2
1,10.51666667,13.70393691,2
1.5,4.8333333,7.948491905,2
2,0.85,0.922520245,2
5,0.266666667,0.871316627,2
10,0.15,0.1531171,2
20,0.15,0.104671758,2