Year,Gao_S,Gao_H,Place
1990,0.650146453,1023.236947,Kerala_India
1991,0.714277032,928.2069288,Kerala_India
1992,0.6269221,942.9397685,Kerala_India
1993,0.656462743,809.28259,Kerala_India
1994,0.641199743,691.8963587,Kerala_India
1995,0.618978859,871.434372,Kerala_India
1996,0.632453271,924.0603302,Kerala_India
1997,0.647441356,996.3011257,Kerala_India
1998,0.698511825,1084.788689,Kerala_India
1999,0.649628719,951.2039669,Kerala_India
2000,0.696570101,602.12117,Kerala_India
2001,0.615777075,470.6112513,Kerala_India
2002,0.57913375,419.1702238,Kerala_India
2003,0.545662824,409.6944461,Kerala_India
2004,0.557511625,428.8067475,Kerala_India
2005,0.557132039,421.3330307,Kerala_India
2006,0.555109068,423.1013582,Kerala_India
2007,0.556624322,425.1184186,Kerala_India
2008,0.5561823,423.943023,Kerala_India
2009,0.556011595,423.6379526,Kerala_India
2010,0.556116439,423.3461694,Kerala_India
2011,0.556149776,423.302915,Kerala_India
2012,0.556289447,423.5852482,Kerala_India
2013,0.55639502,423.7897385,Kerala_India
2014,0.556416397,423.8257369,Kerala_India
2015,0.556395785,423.7429567,Kerala_India
2016,0.556372463,423.6398142,Kerala_India
2017,0.556372265,423.5991108,Kerala_India
1980,0.191967558,37.96976944,SE_Aust
1981,0.191617018,37.59998875,SE_Aust
1982,0.19125529,37.28377116,SE_Aust
1983,0.192218443,37.45159335,SE_Aust
1984,0.194721568,37.76092548,SE_Aust
1985,0.194846217,38.37418659,SE_Aust
1986,0.196796758,39.45279509,SE_Aust
1987,0.200785246,40.5617422,SE_Aust
1988,0.203941442,41.71294694,SE_Aust
1989,0.208132425,43.66245368,SE_Aust
1990,0.21041855,44.80984592,SE_Aust
1991,0.212381046,45.82823999,SE_Aust
1992,0.213296776,46.1568623,SE_Aust
1993,0.213984623,46.4163419,SE_Aust
1994,0.21521156,46.93697642,SE_Aust
1995,0.216098704,46.63722254,SE_Aust
1996,0.216314806,46.3124405,SE_Aust
1997,0.216074605,45.89300464,SE_Aust
1998,0.215603821,45.42440781,SE_Aust
1999,0.21498846,44.99158494,SE_Aust
2000,0.213778201,44.57569911,SE_Aust
2001,0.212141825,44.11385776,SE_Aust
2002,0.21042239,43.64848273,SE_Aust
2003,0.20849872,43.2332727,SE_Aust
2004,0.207635216,42.76620886,SE_Aust
2005,0.207780496,42.32376544,SE_Aust
2006,0.208275132,41.9782024,SE_Aust
2007,0.209656023,41.70444461,SE_Aust
2008,0.210571955,41.59970271,SE_Aust
2009,0.21099553,41.49942514,SE_Aust
2010,0.211344552,41.42473213,SE_Aust
2011,0.211442667,41.31211167,SE_Aust
2012,0.211472066,41.19264866,SE_Aust
2013,0.211707559,41.09592134,SE_Aust
2014,0.211864091,41.02142965,SE_Aust
2015,0.212014793,40.94214806,SE_Aust
2016,0.212240707,40.86511303,SE_Aust
2017,0.212584676,40.7962989,SE_Aust
2018,0.212825169,40.74983776,SE_Aust
2019,0.213025469,40.70052922,SE_Aust
2006,0.309165936,348.3664755,Nth_Central_Chile
2007,0.265164265,346.7381743,Nth_Central_Chile
2008,0.260933611,351.2259432,Nth_Central_Chile
2009,0.250631875,339.8197309,Nth_Central_Chile
2010,0.242552003,332.4161441,Nth_Central_Chile
2011,0.225807334,344.9300634,Nth_Central_Chile
2012,0.222127822,256.1841638,Nth_Central_Chile
2013,0.220528067,317.1210876,Nth_Central_Chile
2014,0.2102171,325.2007103,Nth_Central_Chile
2015,0.198900344,316.1719824,Nth_Central_Chile
2016,0.187669467,324.9360406,Nth_Central_Chile
2017,0.186642961,296.9440686,Nth_Central_Chile
2018,0.155202268,282.2197247,Nth_Central_Chile
1971,0.679432803,195.0466202,East_Bering_Sea
1972,0.709875059,213.8817563,East_Bering_Sea
1973,0.707329338,213.6219212,East_Bering_Sea
1974,0.697721601,207.9267467,East_Bering_Sea
1975,0.700871193,207.1211442,East_Bering_Sea
1976,0.707601854,207.9610536,East_Bering_Sea
1977,0.712479141,207.3803404,East_Bering_Sea
1978,0.714639769,206.9008203,East_Bering_Sea
1979,0.717041384,206.879762,East_Bering_Sea
1980,0.7183253,207.2078185,East_Bering_Sea
1981,0.717482266,207.0773521,East_Bering_Sea
1982,0.714878188,206.2721661,East_Bering_Sea
1983,0.710840445,206.1623098,East_Bering_Sea
1984,0.705359612,207.0966056,East_Bering_Sea
1985,0.700363949,208.1195909,East_Bering_Sea
1986,0.697495562,208.548518,East_Bering_Sea
1987,0.69528509,209.0358412,East_Bering_Sea
1988,0.692115239,209.8914497,East_Bering_Sea
1989,0.690746956,210.0439976,East_Bering_Sea
1990,0.689836506,210.12311,East_Bering_Sea
1991,0.689848598,210.2663437,East_Bering_Sea
1992,0.68870589,210.6509817,East_Bering_Sea
1993,0.689361517,210.4972991,East_Bering_Sea
1994,0.688631197,210.7859907,East_Bering_Sea
1995,0.68687345,211.0301008,East_Bering_Sea
1996,0.687448375,210.7438306,East_Bering_Sea
1997,0.68872206,210.5423979,East_Bering_Sea
1998,0.691062826,210.0246027,East_Bering_Sea
1999,0.693735906,209.3839133,East_Bering_Sea
2000,0.693565852,209.5116098,East_Bering_Sea
2001,0.6908689,210.2989328,East_Bering_Sea
2002,0.687433369,211.2146095,East_Bering_Sea
2003,0.685488396,211.6602655,East_Bering_Sea
2004,0.684448285,211.843838,East_Bering_Sea
2005,0.683996328,211.8499888,East_Bering_Sea
2006,0.683854745,211.8071699,East_Bering_Sea
2007,0.686027043,211.2319312,East_Bering_Sea
2008,0.691922708,209.9740075,East_Bering_Sea
2009,0.697370157,208.8413975,East_Bering_Sea
2010,0.699675385,208.347815,East_Bering_Sea
2011,0.694972606,209.5055534,East_Bering_Sea
2012,0.68938372,210.6393067,East_Bering_Sea
2013,0.686007153,211.1709816,East_Bering_Sea
2014,0.683978413,211.5188341,East_Bering_Sea
2015,0.683061453,211.7390169,East_Bering_Sea
2016,0.682296902,212.004433,East_Bering_Sea
2017,0.682488289,211.9813529,East_Bering_Sea